Year,Num Obs,Mean XCO2,Min XCO2,Max XCO2
2016,1995,402.1548156738281,381.6788024902344,415.2076110839844
2017,1830,404.0864562988281,389.7987976074219,416.54119873046875
2018,1996,406.5067138671875,389.360595703125,416.9866027832031
2019,1944,409.0654296875,390.22119140625,421.9939880371094
2020,2235,411.5654296875,397.5483093261719,428.23040771484375
