Eastern Hemisphere
Year,Num Obs,Mean XCO2,Min XCO2,Max XCO2
2016,2006,402.0463562011719,381.6788024902344,415.2076110839844
2017,2155,403.9568786621094,389.7987976074219,416.54119873046875
2018,2060,406.412353515625,389.360595703125,416.9866027832031
2019,2025,408.8039855957031,390.22119140625,421.0097961425781
2020,2189,411.3981018066406,397.83660888671875,428.23040771484375

Global
Year,Num Obs,Mean XCO2,Min XCO2,Max XCO2
2016,2708,402.1400451660156,381.6788024902344,415.2076110839844
2017,2752,404.0379333496094,389.7987976074219,416.54119873046875
2018,3018,406.5367736816406,389.360595703125,416.9866027832031
2019,2777,408.9444885253906,390.22119140625,421.9939880371094
2020,3121,411.3799133300781,397.5483093261719,428.23040771484375

Northern Hemisphere
Year,Num Obs,Mean XCO2,Min XCO2,Max XCO2
2016,1995,402.1548156738281,381.6788024902344,415.2076110839844
2017,1830,404.0864562988281,389.7987976074219,416.54119873046875
2018,1996,406.5067138671875,389.360595703125,416.9866027832031
2019,1944,409.0654296875,390.22119140625,421.9939880371094
2020,2235,411.5654296875,397.5483093261719,428.23040771484375

North America
Year,Num Obs,Mean XCO2,Min XCO2,Max XCO2
2016,388,402.4646301269531,389.2250061035156,412.243408203125
2017,388,404.2337951660156,395.4335021972656,412.6227111816406
2018,394,406.8908386230469,393.4783020019531,415.6108093261719
2019,329,409.6526794433594,392.84820556640625,421.9939880371094
2020,482,412.0636291503906,397.5483093261719,420.1549987792969

Southern Hemisphere
Year,Num Obs,Mean XCO2,Min XCO2,Max XCO2
2016,713,401.3644104003906,393.841796875,409.885986328125
2017,922,403.3116455078125,399.0398864746094,410.5557861328125
2018,1022,405.515869140625,398.9035949707031,414.5972900390625
2019,833,407.9250183105469,397.9451904296875,416.1274108886719
2020,886,410.5492858886719,400.7073974609375,416.59698486328125

Western Hemisphere
Year,Num Obs,Mean XCO2,Min XCO2,Max XCO2
2016,702,402.5784912109375,389.2250061035156,412.243408203125
2017,597,404.0826110839844,395.4335021972656,412.6227111816406
2018,958,406.8679504394531,393.4783020019531,415.6108093261719
2019,752,409.216796875,392.84820556640625,421.9939880371094
2020,932,411.4717712402344,397.5483093261719,420.1549987792969

